id,title,old_unit,new_unit,confidence,reason,status
"3b3ab8d9-1b8a-4fe1-b913-8ac369842086","Antifungals, Antivirals, Antihelminthics & Antiprotozoals","Basic Pharmacology","Basic Pharmacology I","medium","Antifungals/antivirals/antihelminthics/antiprotozoals drug-class framing matches Trimester 1's chemotherapy series; extensive HIV/ART section also overlaps Trimester 2 - genuinely mixed","success"
"4d7edcf6-517a-4eb9-8dcc-226d602931d8","MASTER PHARMACOLOGY NOTES","Basic Pharmacology","Basic Pharmacology II","high","Opens with 'Principles of Rational Antimicrobial Prescribing & Infectious Diseases' - exact match to Trimester 2's first topic","success"
"558d5138-78da-426b-a7c3-555c9b97e59a","Pharmacology Examination MCQs","Basic Pharmacology","Basic Pharmacology I","medium","Dose-response/bioavailability MCQ set - core Trimester 1 PK/PD intro material; 60 questions may span further","success"
"9202095d-257c-4276-ae65-56ff1f4cfbbb","Master Pharmacokinetics, Dynamics & Antimicrobial Drugs","Basic Pharmacology","Basic Pharmacology I","medium","Pharmacokinetics/pharmacodynamics framing (ADME, bioavailability) - Trimester 1 intro topic","success"
"ef61c80e-1e66-4624-a4a6-7192ee43d8a3","Introduction to Oncology: History, Genetics & Immuno-oncology","Basic Pharmacology","Basic Pharmacology III","high","""WEEK 1 - Introduction to Oncology"" - exact match Trimester 3 opening topic","success"
"50dbd673-dc01-4f1a-9429-8de8dc035725","Oncology: Surgery, Radiotherapy & Chemotherapy Explained","Basic Pharmacology","Basic Pharmacology III","high","""WEEK 2 - Treatment Approaches in Oncology"" (surgery/radiotherapy) - Trimester 3 topic","success"
"eb948af9-2b1c-4e77-961c-b2994e180a8f","Cancer Pharmacology: Cell Cycle, Oncogenes & Drug Targets","Basic Pharmacology","Basic Pharmacology III","high","Cancer pharmacology, cell cycle, oncogenes, drug targets - Trimester 3","success"
"fe23f6a7-e01d-4b5d-9ac8-cf78b973cb88","Cell Cycle & Chemotherapy: Drug Mechanisms & Phases","Basic Pharmacology","Basic Pharmacology III","high","""WEEK 3"" cell cycle classification of chemo drugs - Trimester 3","success"
"c22b7ee9-6698-4359-bfe9-062d89fc548b","Pharmacology END SEM 3CAT: Drug Response, Bioavailability & Antifungals","Basic Pharmacology","Basic Pharmacology I","medium","Content is drug-response/receptors/bioavailability/antifungals (Trimester 1 intro material) despite title saying 'SEM 3CAT' - title conflicts with content, flagging for owner review","success"
"3894745c-5fbf-4ef5-bcd3-5219ee7553db","Pharmacology Wk 1 & 2","Basic Pharmacology","Basic Pharmacology II","high","""Wk 1 & 2"" antimicrobial therapy/resistance mechanisms - matches Trimester 2's opening weeks","success"
"e5570ce6-84b0-4141-b124-18f49aa946bd","💊 Weeks 6 & 7 Must-Know Notes","Basic Pharmacology","Basic Pharmacology I","high","""WEEK 6 & 7"" Cell Wall Inhibitors/Protein Synthesis Inhibitors/Quinolones/Antimycobacterials - Trimester 1's chemotherapy series, matches week numbering","success"
"33fb0af9-68e8-46d8-a2bf-14a6d661d667","Oncology Intro: Cancer Biology, Genetics & Immuno-Oncology","Basic Pharmacology","Basic Pharmacology III","high","Duplicate of the Oncology Intro note - Trimester 3","success"
"31d07a12-1d26-49e0-8804-3474f6aed1e0","Introduction to Oncology: History, Genetics & Immuno-oncology","Basic Pharmacology","Basic Pharmacology III","high","Duplicate of the Oncology Intro note - Trimester 3","success"
"bd31016e-acfc-4759-bc4a-fc6d1e928eda","Chemotherapy Drugs: Cell Cycle Phase & Mechanism Explained","Basic Pharmacology","Basic Pharmacology III","high","Chemotherapy drug classification by cell cycle phase - Trimester 3","success"
"e89cc675-7eb8-42c2-b021-241126472bd1","MBPL3621 Introduction to Pharmacology Quiz 1","Basic Pharmacology","Basic Pharmacology I","high","""Introduction to Pharmacology Quiz 1"" - absorption/basic PK concepts, Trimester 1 opening topic","success"
"cb17dd01-18e8-4a33-b4ac-76aeedd53e2c","Pharmacology CRASH Course","Basic Pharmacology","Basic Pharmacology III","medium","""WEEK 1: INTRODUCTION TO ONCOLOGY"" crash course - entirely within oncology's Trimester 3 domain even though it's long","success"
"74c68d06-4cda-4429-b6b4-a82444456bf3","MBPL3822 Chemotherapy CAT 1 MCQs","Basic Pharmacology","Basic Pharmacology II","medium","Antibiotic combination therapy for a specific infection (enterococci) - case-based antimicrobial content matches Trimester 2's patient-case-series structure","success"
"7875deff-6c18-4eaf-b532-dac472317493","TAKE HOME CAT 1&amp;2.","Basic Pharmacology","(unchanged - Basic Pharmacology)","","Assignment instructions/cover-page requirements only - no real teaching content to classify","skipped"
"2b6584eb-2323-4db3-990f-85138828a1cc","Pharmacology Cheat Code","Basic Pharmacology","(unchanged - Basic Pharmacology)","","""Pharmacology Cheat Code"" - broad cram sheet, likely spans multiple trimesters, can't confidently single-assign","skipped"
"4b5f904e-ea92-4732-b3e5-dd1f589db48f","COMPREHENSIVE BASIC PHARMACOLOGY - 120 CHALLENGING MCQs","Basic Pharmacology","(unchanged - Basic Pharmacology)","","""120 CHALLENGING MCQs"" mega-compilation (48k chars) - almost certainly spans all 3 trimesters","skipped"
"96eb9450-a0e7-401d-b5ec-dbf8d0b17d42","Basic Pharmacology - Study Guide","Basic Pharmacology","(unchanged - Basic Pharmacology)","","""Basic Pharmacology - Study Guide"" mega-compilation (48k chars, unfamiliar course code) - spans too much to single-assign","skipped"
"901655db-b9ee-4e89-afb9-adefe31d2590","Pharmco Notes","Basic Pharmacology","(unchanged - Basic Pharmacology)","","Largest note (79k chars), opens with a broken AI-meta-comment preamble - too large/messy to confidently split without deeper review","skipped"
