id,title,old_meta_title,old_meta_description,new_meta_title,new_meta_description,status
"bf8d8ef7-164e-4ac0-835a-ab75e875e0dc","Cardiovascular Disease and Biochemical Markers MCQs","","","Cardiovascular Disease MCQs | Biochemical Markers - Year 3","Practice MBChB Year 3 MCQs on cardiovascular disease and biochemical markers, covering chest pain presentations, cardiac enzymes and diagnostic reasoning.","success"
"ce08bfa7-871f-4b12-991e-851a2035d771","ONCOPATHOLOGY MCQs - HALLMARKS OF CANCER","","","Oncopathology MCQs: Hallmarks of Cancer (30 Qs) | Year 3","30 MCQs on the hallmarks of cancer for MBChB Year 3 Oncopathology, covering tumor suppressor genes, VHL syndrome and molecular mechanisms of malignancy.","success"
"558d5138-78da-426b-a7c3-555c9b97e59a","Pharmacology Examination MCQs","","","Pharmacology Exam MCQs: Dose-Response & PK/PD | Year 3","60-question Basic Pharmacology exam MCQ set for MBChB Year 3 covering dose-response relationships, pharmacokinetics and pharmacodynamics.","success"
"f0919406-1c17-468e-ad04-63ed01b065fd","Chemical Pathology","","","Quality Control in Clinical Chemistry MCQs | Chem Path I","35 MCQs with explanations on quality control and quality assurance in clinical chemistry for MBChB Year 3 Chemical Pathology I.","success"
"68641b6b-7c93-4e05-9bbc-b280891e9124","PATHOLOGY MCQs: CELL INJURY, DEATH, AND ADAPTATIONS","","","Cell Injury, Death & Adaptation MCQs | General Pathology","MBChB Year 3 General Pathology MCQs on cell injury, cellular adaptation, etiology and pathogenesis, with explained answers for exam revision.","success"
"b61441a2-fce2-4e1e-b47a-501dc3947850","Oncopathology Hallmarks of Cancer MCQs","","","Hallmarks of Cancer MCQs (50 Qs) | Oncopathology Year 3","50-question MCQ set on the hallmarks of cancer for MBChB Year 3 Oncopathology, covering angiogenesis, VHL syndrome and tumor biology mechanisms.","success"
"ee8c269e-f49e-4b62-a75b-a6c564f51f5a","LIPID AND LIPOPROTEIN DISORDERS MCQs","","","Lipid & Lipoprotein Disorders MCQs | Chemical Pathology","40 comprehensive MCQs on lipid and lipoprotein disorders for MBChB Year 3 Chemical Pathology, covering VLDL, LDL, chylomicrons and dyslipidemia.","success"
"499e2e1f-0b3d-4a44-be8b-acc0f89af7ac","CELLULAR INJURY AND ADAPTATION MCQs","","","Cellular Injury & Adaptation MCQs | General Pathology","General Pathology MCQs for MBChB Year 3 on cellular injury and adaptation, featuring clinical cases like hepatitis A and jaundice.","success"
"7f72709b-62ae-4234-b0b6-478d053ac684","ACID-BASE DISORDERS - CLINICAL CASE MCQs","","","Acid-Base Disorders MCQs | Clinical Cases - Chem Path","30 clinical-case MCQs on acid-base disorders for MBChB Year 3 Chemical Pathology, with Winter's formula, anion gap and delta ratio calculations.","success"
"72488117-a7e1-4c85-9812-3f609eb13b8c","Chemical Pathology","","","Pre-Operative Lab Workup Quiz | Chemical Pathology","Chemical Pathology quiz for MBChB Year 3 covering pre-operative laboratory workup interpretation and clinical decision-making.","success"
"e2f0610f-8534-4830-adcf-467f33b027b0","50 Multiple Choice Questions","","","Cellular Adaptation & Stress MCQs | General Pathology","50 MCQs on cellular responses to stress and toxic insults (Robbins Pathology Ch. 1) for MBChB Year 3 General Pathology revision.","success"
"88e06805-a632-4109-bf3d-0bb895aec903","ACIDOSIS AND ALKALOSIS MCQs","","","Acidosis & Alkalosis MCQs | Chemical Pathology Year 3","40 comprehensive MCQs on acidosis and alkalosis for MBChB Year 3 Chemical Pathology, covering blood pH regulation and acid-base balance.","success"
"69cdc7a8-1b2a-441a-ab60-9956fd966818","INTRODUCTION TO NEOPLASIA MCQs","","","Introduction to Neoplasia MCQs | General Pathology","40 MCQs introducing neoplasia for MBChB Year 3 General Pathology, covering tumor definitions, classification and growth patterns.","success"
"a9f7c42f-1831-49af-8ea1-29172e7a15b5","ONCOPATHOLOGY MCQ EXAMINATION HAllmarks of Cancer 1,2 &amp;3","","","Hallmarks of Cancer MCQs (60 Qs) | Oncopathology Exam","60-question Oncopathology exam MCQs on the hallmarks of cancer, including familial retinoblastoma and Knudson's two-hit hypothesis.","success"
