id,title,old_category,new_category,status
"d333712a-dc6c-4e69-a939-8e404cb506a2","MDS, Myelofibrosis & HLH: Key Blood Disorders Explained","Year 3: Hematology and Blood Transfusion","Year 3: Hematopathology","success"
"ccf06f8e-b252-423a-a537-11ca0943696e","MEDICAL MYCOLOGY — SHORT ANSWER QUESTIONS","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"3eeeb28f-f18a-4255-889c-b505df592737","Breast Carcinoma: Understanding Types, Receptors & Treatment","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"a576d3d9-e3ce-4338-a62f-b03f922f4589","Clinical Genetics: Master Mendelian Disorders & Molecular Basis","Year 3: General & Systemic Pathology","Year 3: Genetic Disorders","success"
"b8b9c446-1a5b-47a1-8d49-7168ccfa8d22","Lung Pathology","Year 3: General & Systemic Pathology","Year 3: Respiratory System Pathology","success"
"6f55be10-d2ec-4dc1-bbe5-7fe8381086b9","Master Medical Mycology: MKU Exam Guide for Fungal Diseases","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"d170f990-cb11-424f-accf-9023014f1ace","Medical Biochemistry II (MBMB 2200) -2","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"d1c0a31b-6348-4db1-a22e-3a5f329f8a96","Human Pathology","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"c43006a9-49c5-4341-a86a-f78628d068a1","Urinary Tract Obstruction & Hydronephrosis: Causes, Symptoms","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"043d6aa5-80b6-48fb-8cf8-9ebb32ea442c","General Pathology MCQs: Fixatives, FNA, Endocrine & ARDS","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"b4960603-82c1-4098-a505-02500a98079e","Benign Breast Epithelial Lesions: Types, Risk & Pathology","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"ea573e98-ff38-4dd4-b216-d68cab1592b5","Stromal Tumors: Fibroadenoma & Phyllodes Tumor Pathology","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"7797688c-7bf5-47e5-9911-d95513648161","Breast Inflammation: Mastitis, Periductal Mastitis & Duct Ectasia","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"d8fa9c92-78cc-43cc-91e0-a731208ec3b8","Renal Vascular Diseases: Nephrosclerosis & Renal Artery Stenosis","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"b13a3a5a-ceb4-49cc-a1c0-ef516fba3c9c","Pigmentation & Melanocyte Disorders: Nevi, Freckles Pathology","Year 3: General & Systemic Pathology","Year 3: Dermatopathology","success"
"584b467c-0606-4c0e-aa8f-040d83421e0c","Community Health: Principles, Concepts & Diagnosis Guide","Year 3: Community Health","Year 3: Community Health","no-op (already correct)"
"9f8daef9-7582-4f7d-8f23-a5588b663adf","Blood Transfusion: ABO, Rh Blood Groups, Compatibility & HDN","Year 3: Hematology and Blood Transfusion","Year 3: Blood Transfusion","success"
"ef1a7f99-7653-4535-b148-19e8877c2075","Haemostasis & Coagulation: Platelet Function & Bleeding Disorders","Year 3: Hematology and Blood Transfusion","Year 3: Hematopathology","success"
"558d5138-78da-426b-a7c3-555c9b97e59a","Pharmacology Examination MCQs","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology I","success"
"fcf197c0-b3ae-4473-baab-d88da4b5f839","Blood Transfusion Contraindications & Acute Reactions","Year 3: Hematology and Blood Transfusion","Year 3: Blood Transfusion","success"
"bc64a3fa-c99f-419d-b818-47c0898a9881","Medical Mycology: Fungi Properties, Benefits & Harmful Effects","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"9f8419f9-27e7-4b17-89fc-545036a916c7","Oncopathology MCQs: Test Your Knowledge on Cancer Pathology","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"ea279fe7-551d-4c87-b985-323ac6fb97b6","Medical Fungi: Classification, Morphology, Reproduction & Spores","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"f67e2004-1de6-4b84-ae7a-8693051de36d","Mycoses: Fungal Pathogenesis, Virulence & Host Immune Defense","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"7dade3ab-bf8f-4424-8b45-7d0a4f8ff5f9","DISORDERS OF THE LOWER URINARY TRACT — Revision Notes","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"59384604-9e23-49c8-8599-d1dcd764c66f","GASTROINTESTINAL PATHOLOGY (Part 1)","Year 3: General & Systemic Pathology","Year 3: Gastrointestinal Pathology","success"
"ac1c4907-be3b-4a36-9bd4-5040dae4bdfc","Gastrointestinal System: Symptoms, Diseases, & VINDICATE Guide","Year 3: General & Systemic Pathology","Year 3: Gastrointestinal Pathology","success"
"aff56e70-80d0-4e82-9dac-d3d734d194b8","Mastering Joint Pathology: Arthritis, OA & Joint Anatomy","Year 3: General & Systemic Pathology","Year 3: Bone and Soft Tissue Pathology","success"
"4a1d5d14-b428-4586-93c5-133a058c07ee","General Pathology I","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"58ec9e18-54ef-42e3-a0da-500fa9bc95d9","Essential Cardiovascular Pathology: Atherosclerosis to Endoc","Year 3: General & Systemic Pathology","Year 3: Respiratory System Pathology","success"
"ec0d95b4-aceb-409d-bbef-f15088fe1210","Disorders of the Vagina and Breast","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"0f5655da-913d-400f-8032-4b8ca98abc11","General Pathology MCQs: Cancer, Tumors & Molecular Path Review","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"e575f1a9-e85a-44c6-bd30-ff6f5b64fc66","General Clinical Examination: Revision Notes & Key Signs","Year 3: Clinical Techniques","Year 3: Introduction to Clinical Techniques","success"
"bf8d8ef7-164e-4ac0-835a-ab75e875e0dc","Cardiovascular Disease and Biochemical Markers MCQs","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"ac44d724-0955-4975-910b-aae0148879cb","Medical Virology: Adenoviruses, Hemorrhagic Fever & Viral Receptors","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"847aa557-0b8b-4082-a06a-c934b5331f42","Clinical Enzymes: Functions and Applications","Year 3: Chemical Pathology","Year 3: Clinical Chemistry","success"
"ee5492ab-fb9e-4dd9-829b-ee6a57e23ee4","Platelet Disorders","Year 3: Hematology and Blood Transfusion","Year 3: Hematopathology","success"
"dfdea184-a929-46dd-a20e-7a637d93119f","Pathology of Demyelinating Diseases: MS, NMO, ADEM, CPM","Year 3: General & Systemic Pathology","Year 3: Neuropathology","success"
"ec93296f-fe45-4170-a72d-01f09e256997","Bone & Soft Tissue Pathology: Cases, Tumors, & Answers","Year 3: General & Systemic Pathology","Year 3: Bone and Soft Tissue Pathology","success"
"f5193605-b074-4436-b9c8-03a43e11e9b8","Medical Virology: Parvovirus B19 & Adenovirus Exam Guide","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
