id,title,old_category,old_unit,new_category,new_unit,bucket,confidence,reason
"ccf06f8e-b252-423a-a537-11ca0943696e","MEDICAL MYCOLOGY — SHORT ANSWER QUESTIONS","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"3eeeb28f-f18a-4255-889c-b505df592737","Breast Carcinoma: Understanding Types, Receptors & Treatment","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","high","Clean label match: raw suffix ""Breast Pathology"" maps directly to taxonomy"
"499e2e1f-0b3d-4a44-be8b-acc0f89af7ac","CELLULAR INJURY AND ADAPTATION MCQs","Year 3: Gastrointestinal Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Category is ""Gastrointestinal Pathology"" but title/content (""CELLULAR INJURY AND ADAPTATION MCQs"") is core General Pathology - reclassified"
"a576d3d9-e3ce-4338-a62f-b03f922f4589","Clinical Genetics: Master Mendelian Disorders & Molecular Basis","Year 3: Genetic Disorders","Genetic Pathology","Year 3: General & Systemic Pathology","Genetic Disorders","","high","Clean label match: raw suffix ""Genetic Disorders"" maps directly to taxonomy"
"b8b9c446-1a5b-47a1-8d49-7168ccfa8d22","Lung Pathology","Year 3: Respiratory System Pathology","","Year 3: General & Systemic Pathology","Respiratory System Pathology","","high","Clean label match: raw suffix ""Respiratory System Pathology"" maps directly to taxonomy"
"6f55be10-d2ec-4dc1-bbe5-7fe8381086b9","Master Medical Mycology: MKU Exam Guide for Fungal Diseases","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"c43006a9-49c5-4341-a86a-f78628d068a1","Urinary Tract Obstruction & Hydronephrosis: Causes, Symptoms","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"043d6aa5-80b6-48fb-8cf8-9ebb32ea442c","General Pathology MCQs: Fixatives, FNA, Endocrine & ARDS","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"b4960603-82c1-4098-a505-02500a98079e","Benign Breast Epithelial Lesions: Types, Risk & Pathology","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","high","Clean label match: raw suffix ""Breast Pathology"" maps directly to taxonomy"
"ea573e98-ff38-4dd4-b216-d68cab1592b5","Stromal Tumors: Fibroadenoma & Phyllodes Tumor Pathology","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","high","Clean label match: raw suffix ""Breast Pathology"" maps directly to taxonomy"
"7797688c-7bf5-47e5-9911-d95513648161","Breast Inflammation: Mastitis, Periductal Mastitis & Duct Ectasia","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","high","Clean label match: raw suffix ""Breast Pathology"" maps directly to taxonomy"
"7f72709b-62ae-4234-b0b6-478d053ac684","ACID-BASE DISORDERS - CLINICAL CASE MCQs","Year 3: Respiratory System Pathology","","Year 3: Chemical Pathology","Clinical Chemistry","","high","Category is ""Respiratory System Pathology"" but content (""ACID-BASE DISORDERS - CLINICAL CASE MCQs"", Winter's formula/anion gap) is Clinical Chemistry - reclassified"
"d8fa9c92-78cc-43cc-91e0-a731208ec3b8","Renal Vascular Diseases: Nephrosclerosis & Renal Artery Stenosis","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
