id,title,year,raw_unit,content_preview
"c9a18250-7c66-4fee-a1e8-317cbbe14abf","Medical Microbiology III Exam: Viruses, Fungi & Diagnosis","3","Exam Medical Microbiology III","#UNIT CODE: BMM1301 | MEDICAL MICROBIOLOGY III **Mount Kenya University — School of Medicine** **Main Exam | Date: Mon 15th April, 2019 | Time: 2 Hour"
"426d54b6-8e5a-4436-9922-c152898e0e26","Pancreatic Disorders: A Comprehensive Review","3","ENT","# Pancreatic Disorders: A Comprehensive Review  ## Summary  The **pancreas** is a vital organ performing both **exocrine** and **endocrine** functions"
"cf20af6c-cd88-4dfb-be92-1a8122520772","Cryptococcal Meningitis: Symptoms, Causes & Fungal Treatment","3","Exam Medical Microbiology III","# UNIT CODE: MBMM 3300 | MEDICAL VIROLOGY AND MYCOLOGY **Mount Kenya University — School of Medicine, Department of Medical Microbiology** **Bachelor "
"eb085674-e4be-4032-9bb7-e97ef9e54191","Untitled Draft","1","General",""
"7c20c329-0306-4e11-8a63-93d0fec5fea6","Lung Tumours Conti...","3","ENT","## Summary This section provides a comprehensive overview of primary lung tumours, focusing on carcinomas as the most prevalent type. It details the a"
"57962445-7f05-415f-a5ec-7f6beb26da3e","Leishmania:","3","ENT","## **Introduction** - Leishmania is a genus of flagellate protozoa responsible for leishmaniasis. - The disease is transmitted by the female sandfly ("
"14775036-cb2c-4e84-bdb7-b6a520583f11","Medical Pathology Final Revision: Chemical, Hema, Systemic","3","PATHOLOGY FINAL","# FINAL PATHOLOGY REVISION — CONSOLIDATED COPY *(sorted to your exam timetable — confirmed-from-PDF content marked ✅, supplementary gap-fill marked ⚠️"
"e2eaaf23-35c7-41fe-b8a1-6d9d2e8c8d40","Renal, Liver, Cardiac & Adrenal Function Tests for Year 3","3","Sunday","# MONDAY 14TH JULY — FULL REVISION PACK ## Chemical Pathology (8–11 AM) + Haematology & Blood Transfusion (2–5 PM) --- # PART A: CHEMICAL PATHOLOGY (M"
"f92ded78-f5b7-4ec7-ab7d-69a9590611ef","Tuesday","3","Tuesday","For Tuesday, the most voluminous and easiest-to-forget material is **General Pathology (Systemic Pathology Paper 1)**: it has 28 essay questions cover"
"698a6fca-b506-4ccb-b40d-cb209da7a376","Tuesday Part 2","3","Tuesday","TUESDAY — PART 3: CARDIOVASCULAR, RESPIRATORY & GI/HEPATOBILIARY PATHOLOGY (MBPA 3500 Paper 2) --- ## SECTION A: CARDIOVASCULAR PATHOLOGY--- ### A1. A"
"8758aae2-1de4-4fee-bd39-7e154705a14f","Cardiovascular & Respiratory Pathology: Atherosclerosis, RHD & MI Review","3","Resp & Cardio Revision",". ## CARDIOVASCULAR PATHOLOGY **Atherosclerosis** Pathogenesis (response-to-injury): - Chronic endothelial injury (HTN, smoking, hyperlipidaemia, hype"
"630499ad-3a4c-4052-a6a6-2cf936b454c0","Pathology by Dr. Irungu","3","Dr. Irungu 2026","# ONCOLOGY Question 1 A 52-year-old woman undergoes thyroidectomy for a well-circumscribed, encapsulated thyroid nodule. Histology shows uniform folli"
"d53fea41-7313-464b-b63b-e2393f3f585e","Dr. Irungu Notes","3","Dr. Irungu 2026","# 15 SHORT ANSWER QUESTIONS (5+ marks) Q1. Describe the hallmarks of cancer. - Self-sufficiency in growth signals — RAS locked GTP-active, HER2 overex"
"39b39d64-52b2-40c9-8bf2-d02ef1ba7b5d","Female & Male Genital Pathology: Ulcers, HPV, Endometriosis, Pre-eclampsia","3","Female & Male Patho Essays","# FEMALE GENITAL SYSTEM — ADDITIONAL ESSAYS Q23. State the aetiology of any 5 genital ulcer diseases. - Syphilis — *Treponema pallidum* (painless, ind"
"6cd8fd6c-ddc3-4cba-a3cb-da6636b09c08","Ovarian & Colorectal Cancer: Risks, Pathogenesis, Staging","3","List year 3 Rev","--- Q37. Discuss Ovarian Carcinoma: Risk Factors, Pathogenesis, Classification, Morphology, Staging **Risk factors:** - Nulliparity / low parity - Ear"
"91cfce23-4b62-4897-8203-dc421ee21d3f","Molecular Basis of Cancer: Cell Cycle, Apoptosis & Angiogenesis","3","Dr. Irungu SEM 1 CRASH COURSE","#SECTION FOUR: MOLECULAR BASIS OF CANCER, CELL CYCLE, APOPTOSIS & TUMOUR GROWTH *Covers — Cell cycle regulation, Apoptosis in cancer, Angiogenesis, Tu"
"1bdcb672-529f-4edf-afef-f655e4c0ec70","Genetic Disorders Pathology Crash Course: Exam Revision Notes","3","Dr. Irungu SEM 1 CRASH COURSE","--- # MBPA 3413 & MBPA 3412 — Exam Crash Course Notes *General Pathology II & III | Point-form, comprehensive* ## Section One: Genetic Disorders (MBPA"
"9788f43d-af8c-4129-9aa2-830d355700d9","Exam Prep: Skin Infections, Psoriasis & Pemphigus","3","Dr. Irungu Sem 3 Rev.","# SECTION 1: SKIN PATHOLOGY (DERMATOPATHOLOGY) **Intro:** This section covers the major disease categories of the skin — infections, chronic inflammat"
"32d6141b-af76-42cf-b8bc-30e1f095ea36","","3","General","Got it. Continuing exactly from where I was cut off.  ---  # HAEMATOLOGY AND BLOOD TRANSFUSION — NOTE 2 **MBML 3223 | Semester 3 | Mount Kenya Univers"
"05730379-3a50-4d3f-b9b4-4633b675ec2c","Medical MCQs: Chemical Pathology & Haematology Exam Review","3","Patho Rev","# 📅 MONDAY: Chemical Pathology + Haematology & Blood Transfusion ## MCQs 1. Which would be consistent with respiratory alkalosis? a. pH increased; PC"
