id,title,old_category,old_unit,new_category,new_unit,confidence,reason,status
"d170f990-cb11-424f-accf-9023014f1ace","Medical Biochemistry II (MBMB 2200) -2","Year 3: Chemical Pathology","Chemical Pathology","Year 2: Medical Biochemistry II","Medical Biochemistry II","high","Content explicitly says 'Unit Title: Medical Biochemistry II' (MBMB 2200 = Year 2 code per exam timetable), not Year 3 Chemical Pathology","success"
"3760740f-f17c-45e1-ab0e-4942df60d09c","Neurochemistry Test – Questions and Answers","Year 3: Chemical Pathology","Chemical Pathology","Year 2: Medical Biochemistry II","Medical Biochemistry II","medium","MBMB2234 Neurochemistry Test - biochemistry course code, not a Chemical Pathology topic at all","success"
"c7befa18-3168-4fa5-b65f-b0739206e4de","Clinical Enzymology and Biomarkers","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","medium","Clinical enzymology/biomarkers - Sem1 'plasma proteins & enzymes' topic","success"
"e486f428-24cb-44b7-9113-a82f877481e8","Specimen and Sample Handling in Clinical Diagnosis","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","high","Specimen/sample handling - exact match to Sem1's first topic","success"
"e0aa7e9d-ec9f-418b-944d-e6a2fa233d24","Liver Function Tests (LFTs)","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","high","Liver function tests - exact match to Sem1 'liver function and disease' topic","success"
"64d58490-0228-4109-8d96-35105b3feff9","Chemical Pathology Practice Examination","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","low","Generic MBPA 3600 practice exam, no semester stated - defaulted","success"
"847aa557-0b8b-4082-a06a-c934b5331f42","Clinical Enzymes: Functions and Applications","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","high","Clinical enzymes - Sem1 'plasma proteins & enzymes' topic","success"
"656c382f-db9f-4048-a720-a5d759707f4a","Chemical Pathology MCQs","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","medium","General clinical chemistry/basic metabolic panel - intro-level Sem1 content","success"
"f0919406-1c17-468e-ad04-63ed01b065fd","Chemical Pathology","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","high","Content explicitly labeled 'Chemical Pathology I' and covers Quality Control - exact Sem1 topic match","success"
"ee8c269e-f49e-4b62-a75b-a6c564f51f5a","LIPID AND LIPOPROTEIN DISORDERS MCQs","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","high","Lipid and lipoprotein disorders - exact Sem1 topic match","success"
