id,title,year,course_unit,subunit,old_category
"ccf06f8e-b252-423a-a537-11ca0943696e","MEDICAL MYCOLOGY — SHORT ANSWER QUESTIONS","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"3eeeb28f-f18a-4255-889c-b505df592737","Breast Carcinoma: Understanding Types, Receptors & Treatment","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"499e2e1f-0b3d-4a44-be8b-acc0f89af7ac","CELLULAR INJURY AND ADAPTATION MCQs","3","General & Systemic Pathology","Gastrointestinal Pathology","Year 3: Gastrointestinal Pathology"
"8b69fd0b-4383-4db2-8ae0-c5d180760a52","Medical Bacteriology and Entomology Exam 2018/2019","2","Principles of Microbiology and Parasitology","Microbiology","Year 2: Microbiology"
"ffa3ed09-38c3-4684-aa14-c19518556c3c","Medical Entomology Cat Practice","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"a576d3d9-e3ce-4338-a62f-b03f922f4589","Clinical Genetics: Master Mendelian Disorders & Molecular Basis","3","General & Systemic Pathology","Genetic Disorders","Year 3: Genetic Disorders"
"0cc97ebe-0517-4b7b-b74b-7b133ef8b6b0","Lower Limb and Knee Joint Anatomy MCQs","1","Human Anatomy I","Anatomy","Year 1: Anatomy"
"b8b9c446-1a5b-47a1-8d49-7168ccfa8d22","Lung Pathology","3","General & Systemic Pathology","Respiratory System Pathology","Year 3: Respiratory System Pathology"
"6f55be10-d2ec-4dc1-bbe5-7fe8381086b9","Master Medical Mycology: MKU Exam Guide for Fungal Diseases","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"c43006a9-49c5-4341-a86a-f78628d068a1","Urinary Tract Obstruction & Hydronephrosis: Causes, Symptoms","3","General & Systemic Pathology","Male Reproductive and Urinary System Pathology","Year 3: Male Reproductive and Urinary System Pathology"
"043d6aa5-80b6-48fb-8cf8-9ebb32ea442c","General Pathology MCQs: Fixatives, FNA, Endocrine & ARDS","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"b4960603-82c1-4098-a505-02500a98079e","Benign Breast Epithelial Lesions: Types, Risk & Pathology","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"ea573e98-ff38-4dd4-b216-d68cab1592b5","Stromal Tumors: Fibroadenoma & Phyllodes Tumor Pathology","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"7797688c-7bf5-47e5-9911-d95513648161","Breast Inflammation: Mastitis, Periductal Mastitis & Duct Ectasia","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"7f72709b-62ae-4234-b0b6-478d053ac684","ACID-BASE DISORDERS - CLINICAL CASE MCQs","3","General & Systemic Pathology","Respiratory System Pathology","Year 3: Respiratory System Pathology"
"d8fa9c92-78cc-43cc-91e0-a731208ec3b8","Renal Vascular Diseases: Nephrosclerosis & Renal Artery Stenosis","3","General & Systemic Pathology","Male Reproductive and Urinary System Pathology","Year 3: Male Reproductive and Urinary System Pathology"
"b13a3a5a-ceb4-49cc-a1c0-ef516fba3c9c","Pigmentation & Melanocyte Disorders: Nevi, Freckles Pathology","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"584b467c-0606-4c0e-aa8f-040d83421e0c","Community Health: Principles, Concepts & Diagnosis Guide","3","Community Health","Community Health","Year 3: Community Health"
"9f8daef9-7582-4f7d-8f23-a5588b663adf","Blood Transfusion: ABO, Rh Blood Groups, Compatibility & HDN","3","Hematology and Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion"
"ef1a7f99-7653-4535-b148-19e8877c2075","Haemostasis & Coagulation: Platelet Function & Bleeding Disorders","3","Hematology and Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion"
"fcf197c0-b3ae-4473-baab-d88da4b5f839","Blood Transfusion Contraindications & Acute Reactions","3","Hematology and Blood Transfusion","Hematopathology","Year 3: Hematopathology"
"bc64a3fa-c99f-419d-b818-47c0898a9881","Medical Mycology: Fungi Properties, Benefits & Harmful Effects","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"9f8419f9-27e7-4b17-89fc-545036a916c7","Oncopathology MCQs: Test Your Knowledge on Cancer Pathology","3","General & Systemic Pathology","Oncopathology","Year 3: Oncopathology"
"ea279fe7-551d-4c87-b985-323ac6fb97b6","Medical Fungi: Classification, Morphology, Reproduction & Spores","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"f67e2004-1de6-4b84-ae7a-8693051de36d","Mycoses: Fungal Pathogenesis, Virulence & Host Immune Defense","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"e3c6904c-3c07-4e28-ac08-e17e00196cc9","Master First-Year Anatomy: Must-Know Essays & Key Concepts","1","Human Anatomy I","Anatomy","Year 1: Anatomy"
"148803e7-ccc6-422d-a675-0fb78ce5cea8","Analytical Techniques and Laboratory Principles","1","Medical Biochemistry I","Carbohydrate Metabolism and Bioenergetics","Year 1: Carbohydrate Metabolism and Bioenergetics"
"7dade3ab-bf8f-4424-8b45-7d0a4f8ff5f9","DISORDERS OF THE LOWER URINARY TRACT — Revision Notes","3","General & Systemic Pathology","Male Reproductive and Urinary System Pathology","Year 3: Male Reproductive and Urinary System Pathology"
"59384604-9e23-49c8-8599-d1dcd764c66f","GASTROINTESTINAL PATHOLOGY (Part 1)","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"ac1c4907-be3b-4a36-9bd4-5040dae4bdfc","Gastrointestinal System: Symptoms, Diseases, & VINDICATE Guide","3","Clinical Techniques","Clinical Techniques","Year 3: Introduction to Clinical Techniques"
"aff56e70-80d0-4e82-9dac-d3d734d194b8","Mastering Joint Pathology: Arthritis, OA & Joint Anatomy","3","General & Systemic Pathology","Bone and Soft Tissue Pathology","Year 3: Bone and Soft Tissue Pathology"
"ec0d95b4-aceb-409d-bbef-f15088fe1210","Disorders of the Vagina and Breast","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"0f5655da-913d-400f-8032-4b8ca98abc11","General Pathology MCQs: Cancer, Tumors & Molecular Path Review","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"88e06805-a632-4109-bf3d-0bb895aec903","ACIDOSIS AND ALKALOSIS MCQs","3","Hematology and Blood Transfusion","Hematopathology","Year 3: Hematopathology"
"e575f1a9-e85a-44c6-bd30-ff6f5b64fc66","General Clinical Examination: Revision Notes & Key Signs","3","Clinical Techniques","Clinical Techniques","Year 3: Introduction to Clinical Techniques"
"e32b558c-e957-4cdd-a612-1372396d4263","ANATOMY MCQs","1","Human Anatomy I","Anatomy","Year 1: Anatomy"
"22888b16-2692-490d-b7d9-2744c58bda25","Defects in DNA Repair and Replication","3","Hematology and Blood Transfusion","Hematopathology","Year 3: Hematopathology"
"bf8d8ef7-164e-4ac0-835a-ab75e875e0dc","Cardiovascular Disease and Biochemical Markers MCQs","3","General & Systemic Pathology","Cardiovascular System Pathology","Year 3: Cardiovascular System Pathology"
"91503f5a-61a0-4d80-bf8b-f473aaa1dcbd","Test","2","Medical Biochemistry II","Molecular Biology","Year 2: Molecular Biology"
"ac44d724-0955-4975-910b-aae0148879cb","Medical Virology: Adenoviruses, Hemorrhagic Fever & Viral Receptors","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Must Know Virology"
"d1ad1281-de64-475a-a9d9-995f44d51dff","Medical Bacteriology &amp; Entomology 2021/2022 Q&amp;A","2","Principles of Microbiology and Parasitology","Microbiology","Year 2: Microbiology"
"ee5492ab-fb9e-4dd9-829b-ee6a57e23ee4","Platelet Disorders","3","Hematology and Blood Transfusion","Hematopathology","Year 3: Hematopathology"
