table,id,title,old_slug,new_slug,clean_slug,status
"articles","31d07a12-1d26-49e0-8804-3474f6aed1e0","Introduction to Oncology: History, Genetics & Immuno-oncology","week-1-introduction-oncology","week-1-introduction-oncology-2","week-1-introduction-oncology","success"
"articles","4a1d5d14-b428-4586-93c5-133a058c07ee","General Pathology I","general-pathology-disease-mechanisms","general-pathology-disease-mechanisms-2","general-pathology-disease-mechanisms","success"
"articles","f0919406-1c17-468e-ad04-63ed01b065fd","Chemical Pathology","chemical-pathology-f09194","chemical-pathology-2","chemical-pathology","success"
"articles","d195783a-fb87-414c-82d6-8bf1ee361c4f","Herpesviruses: HSV-1, HSV-2, VZV, Symptoms, Diagnosis, Tx","herpesviridae-hsv-vzv-overview","herpesviridae-hsv-vzv-overview-2","herpesviridae-hsv-vzv-overview","success"
"articles","8ec0ec59-4dc5-4ab6-a0f4-57109bea993b","Liver Histology & Physiology","liver-histology-physiology-8ec0ec","liver-histology-physiology-2","liver-histology-physiology","success"
"articles","c44bf6c3-130e-4f6c-9126-84513ba24eb4","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","adrenal-neoplasms-adenoma-vs-carcinoma-c44bf6","adrenal-neoplasms-adenoma-vs-carcinoma-2","adrenal-neoplasms-adenoma-vs-carcinoma","success"
"articles","aca1d504-5556-4456-949f-0e1de4785028","Chemical Pathology MCQs: Diabetes, Renal & Liver Disease","chemical-pathology-mcqs","chemical-pathology-mcqs-2","chemical-pathology-mcqs","success"
"articles","04e04ba7-73cc-46dc-93f0-96f0b98d7ac7","Quick Guide: Male Reproductive System Pathology, Testis, Penis","male-reproductive-system-pathology","male-reproductive-system-pathology-2","male-reproductive-system-pathology","success"
"mcq_sets","ef03e6de-499f-4e55-98a1-3919ff7b90b2","HAEMATOLOGY END OF YEAR EXAMINATION 2024/2025","haematology-end-of-year-examination-20242025","haematology-end-of-year-examination-20242025-2","haematology-end-of-year-examination-20242025","success"
"mcq_sets","38b5410e-e12b-4dd8-8a10-e95ec10fcb1e","Chemical Pathology","chemical-pathology-38b541","chemical-pathology-2","chemical-pathology","success"
